SOC2,ratio
11,0.14771318447960524
13,0.11875974320890667
15,0.07570856911387433
17,0.04835546908564204
19,0.015980396970552493
21,0.02785330256422846
23,0.008135195846170843
25,0.08994132593565493
27,0.04790129745786637
29,0.06989639976923172
31,0.00791117875949771
33,0.024621932807148906
35,0.01949715835859919
37,0.00576767280002946
39,0.017272331127941375
41,0.1068101194348632
43,0.1054230547338186
45,0.0024457755901162435
47,0.011335878331103392
49,0.00932432764186726
51,0.01787840475284471
53,0.016026427878773
55,0.005440853351663864
